,Make,Model,Year,FuelType,EngineHP,EngineCylinders,Transmission,Drive,NumberOfDoors,MarketCategory,Size,Style,highwaympg,citympg,Popularity,MSRP
179,Lexus,HS 250h,2011,regular unleaded,187,4,AUTOMATIC,front wheel drive,4,"Luxury,Hybrid",Midsize,Sedan,34,35,454,36330
180,Ferrari,360,2004,premium unleaded (required),400,8,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,15,10,2774,147332
182,Ford,F-150,2016,flex-fuel (unleaded/E85),385,8,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,21,15,5657,46895
184,Chevrolet,Silverado 1500,2017,flex-fuel (unleaded/E85),285,6,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,22,17,1385,39185
185,Honda,Fit,2017,regular unleaded,130,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,36,29,2202,17900
187,Land Rover,Range Rover Sport,2016,premium unleaded (recommended),510,8,AUTOMATIC,four wheel drive,4,"Luxury,High-Performance",Midsize,4dr SUV,19,14,258,93295
188,Acura,TSX,2013,premium unleaded (recommended),201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,31,22,204,33610
192,Dodge,Challenger,2015,regular unleaded,305,6,AUTOMATIC,rear wheel drive,2,Performance,Large,Coupe,30,19,1851,26995
194,Volkswagen,GTI,2013,premium unleaded (recommended),200,4,MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,31,21,873,30395
195,Audi,A3,2016,premium unleaded (recommended),170,4,AUTOMATED_MANUAL,front wheel drive,2,Luxury,Compact,Convertible,35,24,3105,36600
196,Subaru,Outback,2015,regular unleaded,175,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,33,25,640,26995
197,Acura,RSX,2006,regular unleaded,155,4,AUTOMATIC,front wheel drive,2,"Hatchback,Luxury",Compact,2dr Hatchback,31,22,204,22375
198,GMC,Sierra 1500 Classic,2007,regular unleaded,285,8,AUTOMATIC,rear wheel drive,4,Flex Fuel,Large,Extended Cab Pickup,19,15,549,25215
199,Acura,Integra,2001,regular unleaded,140,4,AUTOMATIC,front wheel drive,4,Luxury,Compact,Sedan,28,21,204,22400
200,Volkswagen,Golf Alltrack,2017,regular unleaded,170,4,MANUAL,all wheel drive,4,Crossover,Compact,Wagon,30,22,873,29430
201,BMW,3 Series,2016,premium unleaded (required),240,4,MANUAL,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,34,22,3916,38350
203,Rolls-Royce,Ghost,2013,premium unleaded (required),563,12,AUTOMATIC,rear wheel drive,4,"Exotic,Luxury,Performance",Large,Sedan,21,13,86,296000
204,Hyundai,Santa Fe,2017,regular unleaded,290,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,22,17,1439,41150
206,Mercedes-Benz,Maybach,2016,premium unleaded (required),523,12,AUTOMATIC,rear wheel drive,4,"Exotic,Luxury,High-Performance",Large,Sedan,20,13,617,189350
210,Dodge,Charger,2017,regular unleaded,370,8,AUTOMATIC,rear wheel drive,4,High-Performance,Large,Sedan,25,16,1851,34790
211,Land Rover,Range Rover,2015,flex-fuel (premium unleaded required/E85),340,6,AUTOMATIC,four wheel drive,4,"Flex Fuel,Luxury",Large,4dr SUV,23,17,258,95195
212,Chevrolet,Silverado 1500,2017,flex-fuel (unleaded/E85),285,6,AUTOMATIC,rear wheel drive,2,Flex Fuel,Large,Regular Cab Pickup,24,18,1385,29610
214,Audi,Q7,2014,premium unleaded (required),280,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Large,4dr SUV,22,16,3105,47700
215,Subaru,XV Crosstrek,2013,regular unleaded,148,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,33,25,640,22995
216,Chevrolet,Corvette,2016,premium unleaded (recommended),455,8,MANUAL,rear wheel drive,2,High-Performance,Compact,Convertible,29,17,1385,63855
217,Mercedes-Benz,GLE-Class,2017,premium unleaded (required),302,6,AUTOMATIC,rear wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,23,18,617,52000
219,Subaru,Baja,2006,regular unleaded,165,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,Crew Cab Pickup,25,19,640,23295
221,Toyota,Tundra,2015,flex-fuel (unleaded/E85),381,8,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Extended Cab Pickup,17,13,2031,34710
222,Mazda,CX-5,2014,regular unleaded,155,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,31,25,586,24045
223,GMC,Sierra 1500 Hybrid,2013,regular unleaded,332,8,AUTOMATIC,rear wheel drive,4,Hybrid,Large,Crew Cab Pickup,23,20,549,48335
225,Nissan,240SX,1998,regular unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,25,20,2009,4299
227,Lexus,NX 300h,2015,regular unleaded,194,4,AUTOMATIC,all wheel drive,4,"Crossover,Luxury,Hybrid",Midsize,4dr SUV,30,33,454,41310
229,Mercedes-Benz,SLC-Class,2017,premium unleaded (required),241,4,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,32,25,617,47950
231,Honda,HR-V,2017,regular unleaded,141,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,31,27,2202,23515
232,Maserati,Ghibli,2015,premium unleaded (required),404,6,AUTOMATIC,all wheel drive,4,"Exotic,Luxury,High-Performance",Midsize,Sedan,25,15,238,77900
235,Lincoln,MKS,2015,regular unleaded,305,6,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Large,Sedan,28,19,61,38850
236,Volkswagen,Tiguan,2015,premium unleaded (recommended),200,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,26,20,873,35565
238,Acura,TLX,2016,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,31,21,204,41575
239,Infiniti,G37 Sedan,2010,premium unleaded (recommended),328,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,27,19,190,33250
241,Infiniti,G Sedan,2011,premium unleaded (recommended),328,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,25,18,190,41550
242,Nissan,240SX,1997,regular unleaded,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19,2009,4182
244,Cadillac,SRX,2015,regular unleaded,308,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,24,17,1624,48920
245,BMW,8 Series,1997,regular unleaded,322,12,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,19,12,3916,7624
246,Chevrolet,Equinox,2015,regular unleaded,182,4,AUTOMATIC,all wheel drive,4,"Crossover,Flex Fuel",Compact,4dr SUV,29,20,1385,33670
247,Chrysler,TC,1991,regular unleaded,141,6,AUTOMATIC,front wheel drive,2,Luxury,Compact,Convertible,22,16,1013,2000
248,Honda,Fit,2017,regular unleaded,130,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,37,32,2202,21265
250,Volkswagen,Phaeton,2004,premium unleaded (recommended),335,8,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,21,14,873,64600
251,Acura,MDX,2017,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,26,18,204,52360
252,Infiniti,Q50,2016,premium unleaded (required),208,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,28,22,190,35950
253,Pontiac,Aztek,2003,regular unleaded,185,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,24,17,210,20870
254,Audi,S4,2016,premium unleaded (required),333,6,AUTOMATED_MANUAL,all wheel drive,4,"Factory Tuner,Luxury,High-Performance",Midsize,Sedan,28,18,3105,56100
255,Suzuki,SX4,2012,regular unleaded,150,4,MANUAL,front wheel drive,4,"Crossover,Hatchback",Compact,4dr Hatchback,30,22,481,16799
256,Bentley,Continental GT3-R,2015,premium unleaded (required),572,8,AUTOMATIC,all wheel drive,2,"Exotic,Factory Tuner,Luxury,High-Performance",Midsize,Coupe,23,13,520,337000
258,Acura,RSX,2006,regular unleaded,155,4,AUTOMATIC,front wheel drive,2,"Hatchback,Luxury",Compact,2dr Hatchback,31,22,204,21225
259,Cadillac,ATS Coupe,2016,premium unleaded (recommended),272,4,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,31,22,1624,37995
260,Volvo,V60,2017,regular unleaded,240,4,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Wagon,36,25,870,41750
